Local Variational Energy
-31
-22
-27
-26
-19
-21
-24
-32
-23
-24
-24
-28
-16
-27
-24
-28
-20
-24
-27
-28
-21
-20
-20
-29
-18
-33
-18
-21
-25
-28
-27
-25
-21
-23
-21
-22
-25
-23
-29
-23
-21
-27
-20
-26
-25
-26
-17
-33
-20
-30
-28
-22
-21
-33
-25
-28
-21
-29
-22
-26
-22
-27
-26
-20
-24
-34
-25
-21
-24
-19
-24
-19
-28
-31
-23
-17
-29
-23
-24
-30
-23
-27
-24
-26
-26
-17
-23
-21
-23
-29
-28
-25
-24
-25
-24
-19
-29
-29
-18
-23
-26
-26
-31
-28
-28
-27
-27
-20
-27
-27
-22
-24
-26
-21
-24
-24
-27
-18
-27
-22
-29
-20
-20
-28
-24
-21
-18
-31
-24
-29
-31
-17
-30
-23
-17
-24
-25
-25
-26
-21
-19
-29
-30
-19
-22
-24
-24
-26
-30
-25
-22
-25
-30
-26
-32
-17
-33
-23
-31
-25
-19
-21
-29
-30
-27
-27
-27
-22
-20
-29
-21
-21
-22
-25
-29
-23
-26
-27
-21
-29
-21
-20
-29
-18
-30
-27
-28
-30
-25
-24
-21
-27
-23
-20
-27
-26
-24
-26
-29
-19
-27
-31
-23
-23
-31
-24
-21
-25
-20
-28
-22
-21
-28
-22
-22
-19
-23
-17
-24
-29
-21
-23
-21
-27
-21
-22
-26
-30
-22
-23
-27
-20
-28
-28
-26
-24
-26
-28
-24
-21
-32
-23
-21
-24
-22
-27
-24
-24
-27
-23
-27
-32
-21
-32
-28
-31
-21
-28
-24
-23
-32
-20
-24
-28
-28
-20
-29
-25
-22
-21
-16
-30
-30
-18
-28
-33
-30
-25
-27
-20
-25
-27
-21
-20
-27
-27
-22
-25
-21
-16
-22
-21
-26
-25
-21
-26
-20
-33
-28
-19
-21
-21
-23
-26
-21
-35
-17
-28
-24
-23
-27
-24
-32
-25
-19
-25
-21
-19
-28
-22
-20
-27
-24
-26
-26
-24
-24
-19
-22
-33
-29
-22
-30
-29
-21
-16
-32
-28
-28
-29
-32
-31
-18
-30
-27
-28
-26
-22
-25
-27
-26
-32
-21
-33
-30
-19
-25
-21
-34
-16
-24
-31
-19
-19
-29
-28
-26
-23
-20
-30
-21
-30
-31
-24
-31
-32
-25
-26
-23
-23
-29
-20
-18
-27
-28
-20
-30
-24
-19
-21
-32
-25
-20
-27
-28
-22
-18
-24
-19
-24
